Time,SWC_30_cm
2022-02-26 10:00:00,0.2491
2022-02-26 11:00:00,0.2489
2022-02-26 12:00:00,0.2487
2022-02-26 13:00:00,0.2486
2022-02-26 14:00:00,0.2484
2022-02-26 15:00:00,0.2482
2022-02-26 16:00:00,0.248
2022-02-26 17:00:00,0.2478
2022-02-26 18:00:00,0.2475
2022-02-26 19:00:00,0.247
2022-02-26 20:00:00,0.2465
2022-02-26 21:00:00,0.2461
2022-02-26 22:00:00,0.2456
2022-02-26 23:00:00,0.2451
2022-02-27 00:00:00,0.2447
2022-02-27 01:00:00,0.2442
2022-02-27 02:00:00,0.2438
2022-02-27 03:00:00,0.2434
2022-02-27 04:00:00,0.2431
2022-02-27 05:00:00,0.2426
2022-02-27 06:00:00,0.2423
2022-02-27 07:00:00,0.2419
2022-02-27 08:00:00,0.2416
2022-02-27 09:00:00,0.2414
2022-02-27 10:00:00,0.2412
2022-02-27 11:00:00,0.241
2022-02-27 12:00:00,0.2409
2022-02-27 13:00:00,0.2407
2022-02-27 14:00:00,0.2406
2022-02-27 15:00:00,0.2405
2022-02-27 16:00:00,0.2404
2022-02-27 17:00:00,0.2402
2022-02-27 18:00:00,0.24
2022-02-27 19:00:00,0.2396
2022-02-27 20:00:00,0.2392
2022-02-27 21:00:00,0.2388
2022-02-27 22:00:00,0.2384
2022-02-27 23:00:00,0.238
2022-02-28 00:00:00,0.2376
2022-02-28 01:00:00,0.2372
2022-02-28 02:00:00,0.2368
2022-02-28 03:00:00,0.2365
2022-02-28 04:00:00,0.2361
2022-02-28 05:00:00,0.2358
2022-02-28 06:00:00,0.2355
2022-02-28 07:00:00,0.2352
2022-02-28 08:00:00,0.2349
2022-02-28 09:00:00,0.2347
2022-02-28 10:00:00,0.2345
2022-02-28 11:00:00,0.2343
2022-02-28 12:00:00,0.2341
2022-02-28 13:00:00,0.234
2022-02-28 14:00:00,0.2339
2022-02-28 15:00:00,0.2338
2022-02-28 16:00:00,0.2337
2022-02-28 17:00:00,0.2336
2022-02-28 18:00:00,0.2335
2022-02-28 19:00:00,0.2333
2022-02-28 20:00:00,0.233
2022-02-28 21:00:00,0.2326
2022-02-28 22:00:00,0.2322
2022-02-28 23:00:00,0.2318
2022-03-01 00:00:00,0.2314
2022-03-01 01:00:00,0.231
2022-03-01 02:00:00,0.2306
2022-03-01 03:00:00,0.2303
2022-03-01 04:00:00,0.23
2022-03-01 05:00:00,0.2296
2022-03-01 06:00:00,0.2294
2022-03-01 07:00:00,0.2291
2022-03-01 08:00:00,0.2288
2022-03-01 09:00:00,0.2286
2022-03-01 10:00:00,0.2284
2022-03-01 11:00:00,0.2281
2022-03-01 12:00:00,0.2279
2022-03-01 13:00:00,0.2277
2022-03-01 14:00:00,0.2276
2022-03-01 15:00:00,0.2275
2022-03-01 16:00:00,0.2274
2022-03-01 17:00:00,0.2274
2022-03-01 18:00:00,0.2273
2022-03-01 19:00:00,0.2271
2022-03-01 20:00:00,0.2268
2022-03-01 21:00:00,0.2265
2022-03-01 22:00:00,0.2261
2022-03-01 23:00:00,0.2258
2022-03-02 00:00:00,0.2255
2022-03-02 01:00:00,0.2252
2022-03-02 02:00:00,0.225
2022-03-02 03:00:00,0.2247
2022-03-02 04:00:00,0.2244
2022-03-02 05:00:00,0.2242
2022-03-02 06:00:00,0.224
2022-03-02 07:00:00,0.2237
2022-03-02 08:00:00,0.2235
2022-03-02 09:00:00,0.2233
2022-03-02 10:00:00,0.223
2022-03-02 11:00:00,0.2228
2022-03-02 12:00:00,0.2225
2022-03-02 13:00:00,0.2223
2022-03-02 14:00:00,0.222
2022-03-02 15:00:00,0.2218
2022-03-02 16:00:00,0.2217
2022-03-02 17:00:00,0.2216
2022-03-02 18:00:00,0.2214
2022-03-02 19:00:00,0.2213
2022-03-02 20:00:00,0.221
2022-03-02 21:00:00,0.2207
2022-03-02 22:00:00,0.2204
2022-03-02 23:00:00,0.2202
2022-03-03 00:00:00,0.2199
2022-03-03 01:00:00,0.2196
2022-03-03 02:00:00,0.2193
2022-03-03 03:00:00,0.219
2022-03-03 04:00:00,0.2188
2022-03-03 05:00:00,0.2185
2022-03-03 06:00:00,0.2182
2022-03-03 07:00:00,0.218
2022-03-03 08:00:00,0.2178
2022-03-03 09:00:00,0.2176
2022-03-03 10:00:00,0.2174
2022-03-03 11:00:00,0.217
2022-03-03 12:00:00,0.2166
2022-03-03 13:00:00,0.2163
2022-03-03 14:00:00,0.216
2022-03-03 15:00:00,0.2159
2022-03-03 16:00:00,0.2158
2022-03-03 17:00:00,0.2157
2022-03-03 18:00:00,0.2156
2022-03-03 19:00:00,0.2155
2022-03-03 20:00:00,0.2153
2022-03-03 21:00:00,0.215
2022-03-03 22:00:00,0.2148
2022-03-03 23:00:00,0.2145
2022-03-04 00:00:00,0.2143
2022-03-04 01:00:00,0.214
2022-03-04 02:00:00,0.2138
2022-03-04 03:00:00,0.2135
2022-03-04 04:00:00,0.2133
2022-03-04 05:00:00,0.2131
2022-03-04 06:00:00,0.2129
2022-03-04 07:00:00,0.2127
2022-03-04 08:00:00,0.2125
2022-03-04 09:00:00,0.2123
2022-03-04 10:00:00,0.212
2022-03-04 11:00:00,0.2118
2022-03-04 12:00:00,0.2115
2022-03-04 13:00:00,0.2111
2022-03-04 14:00:00,0.2107
2022-03-04 15:00:00,0.2105
2022-03-04 16:00:00,0.2104
2022-03-04 17:00:00,0.2104
2022-03-04 18:00:00,0.2104
2022-03-04 19:00:00,0.2103
2022-03-04 20:00:00,0.2101
2022-03-04 21:00:00,0.2099
2022-03-04 22:00:00,0.2097
2022-03-04 23:00:00,0.2095
2022-03-05 00:00:00,0.2092
2022-03-05 01:00:00,0.2089
2022-03-05 02:00:00,0.2087
2022-03-05 03:00:00,0.2084
2022-03-05 04:00:00,0.2082
2022-03-05 05:00:00,0.208
2022-03-05 06:00:00,0.2077
2022-03-05 07:00:00,0.2075
2022-03-05 08:00:00,0.2073
2022-03-05 09:00:00,0.2071
2022-03-05 10:00:00,0.2068
2022-03-05 11:00:00,0.2063
2022-03-05 12:00:00,0.2059
2022-03-05 13:00:00,0.2054
2022-03-05 14:00:00,0.2053
2022-03-05 15:00:00,0.2053
2022-03-05 16:00:00,0.2052
2022-03-05 17:00:00,0.2052
2022-03-05 18:00:00,0.2052
2022-03-05 19:00:00,0.205
2022-03-05 20:00:00,0.2049
2022-03-05 21:00:00,0.2047
2022-03-05 22:00:00,0.2045
2022-03-05 23:00:00,0.2043
2022-03-06 00:00:00,0.204
